,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,latitude,longitude,number_of_baths,shared_bath,Unnamed: 0,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable,netflix,fireplace,cable_tv,luggage_dropof_allowed
32,within a day,100.0,100.0,t,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,1.0,1.0,75.0,4,40,t,74,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0.73,37.97952,23.72367,1.0,False,32,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33,a few days or more,0.0,,f,f,ΑΝΩ ΠΑΤΗΣΙΑ,Entire home/apt,4,1.0,1.0,124.0,5,365,t,1,97.0,10.0,10.0,10.0,10.0,10.0,8.0,f,0.01,38.01719,23.74506,1.0,False,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,within a day,80.0,75.0,f,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,8,2.0,8.0,20.0,3,365,t,32,95.0,10.0,9.0,10.0,10.0,9.0,9.0,f,0.31,37.9858,23.72328,1.0,False,34,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,within a few hours,100.0,96.0,t,t,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,4,1.0,1.0,40.0,2,1125,t,19,95.0,9.0,10.0,10.0,10.0,9.0,10.0,f,0.18,37.9802,23.72357,1.0,False,35,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,within a few hours,100.0,96.0,t,t,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,4,1.0,1.0,41.0,2,1125,t,7,100.0,10.0,10.0,10.0,10.0,9.0,9.0,f,0.09,37.9802,23.72357,1.0,False,36,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,a few days or more,0.0,14.0,f,t,ΚΟΛΩΝΑΚΙ,Entire home/apt,2,,0.0,45.0,7,365,t,24,91.0,9.0,9.0,10.0,9.0,10.0,9.0,f,0.21,37.97743,23.74365,1.0,False,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,a few days or more,43.0,33.0,f,f,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,3,2.0,2.0,70.0,3,1125,t,64,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,0.59,37.9657,23.7301,2.0,False,38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,within a few hours,100.0,91.0,f,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,8,3.0,8.0,41.0,2,730,t,57,92.0,9.0,9.0,9.0,9.0,9.0,9.0,t,0.53,37.99253,23.73115,1.0,False,39,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,within a few hours,100.0,100.0,f,t,ΚΟΛΩΝΑΚΙ,Entire home/apt,4,2.0,1.0,80.0,1,1125,t,33,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,0.4,37.97607,23.74075,1.0,False,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,within an hour,100.0,100.0,t,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,2,1.0,1.0,200.0,2,1125,t,439,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,4.32,37.97652,23.72443,1.0,False,41,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
